stagename,dateOfBirth
Marjorie Bennett,1894
Richard Bennett,1873
Annette Benning,1958
Jack Benny,1894
Martin Benson,1918
Robby Benson,1956
Michael Bentine,1922
Barbi Benton,
Susanne Benton,
Iris Berben,
Tom Berenger,1950
Marisa Berenson,1946
Judith-Marie Bergan,
Candice Bergen,1946
Polly Bergen,1929
William Bergen,
Helmut Berger,1944
Katya Berger,
Senta Berger,1941
Sidney Berger,1962
William Berger,
Jacques Bergerac,1927
Herbert Berghof,1909
Ingrid Bergman,1915
Harold Bergman,
Henry Bergman,
Sandahl Bergman,
Tracy Bergman,
Elisabeth Bergner,1898
Thommy Bergren,
Steven Berkoff,
Milton Berle,1908
Irving Berlin,1888
Jennie Berlin,
Shelley Berman,1926
Susan Berman,
Jason Bernhard,
Sandra Bernhard,
Herschel Bernardi,1923
Sarah Bernhardt,1844
Elizabeth Berridge,
Phillip Berrigan,
Chuck Berry,
Halle Berry,196x
Jules Berry,1883
Ken Berry,1933
Michael Berryman,
Marina Berti,1928
Bibi Besch,
Joe Besser,1916
Eugenie Besserer,1870
Edna Best,1900
Willie Best,1916
Barbara Bestar,
Jack Beutel,
Turhan Bey,
Richard Beymer,1939
Daniela Bianchi,1942
Charles Bickford,1889
Michael Biehn,
Ramon Bieri,
Theodore Bikel,1924
Tony Bill,1940
Peter Billingsley,
Herman Bing,1889
Geoff Binney,
Edward Binns,
Julliette Binoche,1964
Paul Birch,1900
Brad Bird,
Norman Bird,1920
David Birney,1944
Jennifer Bishop,
Pat Bishop,
Julie Bishop,1914
Whit Bissell,1919
Jacqueline Bisset,1944
Bonnie Bittner,
Bill Bixby,1934
Gunnar Bjornstrand,
Karen Black,1942
Honor Blackman,1926
Joan Blackman,1938
Sidney Blackmer,1895
Ruben Blades,1948
Gerard Blain,1930
Vivian Blaine,1921
Betsy Blair,1923
Janet Blair,1921
Linda Blair,1959
Amanda Blake,1929
Jon Blake,
Mary Blake,1896
Robert Blake,1933
Whitney Blake,
Colin Blakely,1930
Susan Blakely,1950
Ronee Blakley,1946
Michel Blanc,
Pierre Blanchar,1892
Alan Blanchard,
Mari Blanchard,1927
Pierre Blanchard,
Clara Blandick,1880
Sally Blane,1910
Mark Blankfield,
Roger Blay,
Debra Blee,
Brian Blessed,1937
Bernard Blier,1916
Dan Blocker,1928
Michael Blodgett,
Joan Blondell,1909
Claire Bloom,1931
Verna Bloom,
Eric Blore,1887
Monte Blue,1890
Ann Blyth,1928
Betty Blythe,1893
John Blythe,1921
Eleanor Boardman,1898
Hart Bochner,
Lloyd Bochner,1924
Carl Boehm,1928
Paul Boensh~III,
Dirk Bogarde,1921
Humphrey Bogart,1899
Roman Bohnen,1894
Richard Bohringer,
Curt Bois,1900
Mary Boland,1880
Ray Bolger,1904
Tiffany Bolling,
Joseph Bologna,1938
Fortunio Bonanova,1893
Derek Bond,1919
Lillian Bond,1910
Sudie Bond,
Ward Bond,1903
Natalya Bondartchuk,
Sergei Bondartchuk,1920
Beulah Bondi,1889
Peter Bonerz,
Sandrine Bonnaire,1967
Beverly Bonner,
Val\'erie Bonnier,
Sonny Bono,1940
Bonzo,
Pat Boone,1934
Richard Boone,1917
John Boorman,1933
Connie Booth,
David Booth,1930
Shirley Booth,1907
Powers Boothe,
Paola Borboni,
Matt Borel,
Veda Ann Borg,1915
Dirk Borgarde,
Victor Borge,
Nelly Borgeaud,
Ernest Borgnine,1915
Tom Bosley,1927
Barry Bostwick,1946
Benjamin Bottoms,
Joseph Bottoms,1954
Sam Bottoms,1960
Timothy Bottoms,1949
Barbara Bouchet,1943
Daniel Boulanger,
Mathew Boulton,
Carole Bouquet,
Michel Bouquet,1926
Charon Bourke,
Phillip Bourneuf,1912
Julie Bovasso,
Tony Bova,
Clara Bow,1905
Dorris Bowdon,1915
Elizabeth Bowen,
Roger Bowen,
Malick Bowes,
David Bowie,1947
Judy Bowker,1954
Lee Bowman,1910
Bruce Boxleitner,1950
Dorothy Boyd,
Guy Boyd,
Stephen Boyd,1928
William Boyd,1895
William `Stage' Stage,
Charles Boyer,1899
Lara Flynn Boyle,1970
Peter Boyle,1933
The Bowery Boys,n.a.
Reizel Bozyk,1914
Marcel Bozzuffi,1929
Eddie Bracken,1920
Jean Bradin,
Terry Bradshaw,
Alice Brady,1892
Pat Brady,
Rob Brady,
Scott Brady,1924
Sonia Braga,
Dame Lilian Braithwaite,1873
Wilfrid Brambell,1912
Kenneth Branagh,1960
Miriam Brickman,dob
Wilford Brimley,
Kenneth Branagh,
Neville Brand,1921
Klaus Maria Brandauer,1944
Marlon Brando,1924
Henry Brandon,1912
Michael Brandon,
Betsy Brantley,
Claude Brasseur,1936
Pierre Brasseur,1903
Rossano Brazzi,1916
Larry Breeding,
Hanna Brejchova,
El Brendel,1890
Eileen Brennan,1935
Walter Brennan,1894
Eve Brent,1930
Evelyn Brent,1899
George Brent,1904
Timothy Brent,
Edmund Breon,1882
Patricia Breslin,
Felix Bressart,1890
Jeremy Brett,1935
JeanClaude Brialy,
David Brian,1914
Mary Brian,1908
Fanny Brice,1891
Bricktop,
Beau Bridges,1941
Jeff Bridges,1949
Lloyd Bridges,1913
Wilford Brimley,
Carl Brisson,1895
May Britt,1933
Morgan Brittany,1953
Barbara Britton,1920
Pamela Britton,1923
Tony Britton,1925
Herman Brix,1909
Peter Brocco,
Phil Brock,
Gary Brockette,
Helen Broderick,1890
James Broderick,1927
Matthew Broderick,1951
Steve Brodie,1919
Estelle Brody,1905
James Brolin,1940
J.~Edward Bromberg,1903
John Bromfield,1922
Eleanor Bron,1934
Charles Bronson,1922
Clive Brook,1887
Faith Brook,1922
Hillary Brooke,1914
Albert Brooks,1947
Elisabeth Brooks,
Geraldine Brooks,1925
Hildy Brooks,
James L. Brooks,
Louise Brooks,
Mel Brooks,1926
Phyllis Brooks,1914
Rand Brooks,1918
Ray Brooks,1939
Edward S. Brophy,1895
Pierce Brosnan,1952
Antonia Brough,
Mary Brough,1863
Blair Brown,1948
Bruce Brown,
Bryan Brown,1947
Eric Brown,
Foxy Brown,
Gary Brown,
Gaye Brown,
George Stanford Brown,1943
Georgia Brown,1933
James Brown,1920
Janet Brown,
Jim Brown,1936
Joe E. Brown,1892
Johnny Mack Brown,1904
Ken Brown,
Lou Brown,
Peter Brown,
Reb Brown,
Roger Aaron Brown,
Tom Brown,1913
Vanessa Brown,1928
Wally Brown,1989
Coral Browne,1913
Kathy Browne,
Roscoe Lee Browne,1925
David Bruce,1914
Lenny Bruce,
Nigel Bruce,1895
Virginia Bruce,1910
Nadja Brunkhorst,
Phil Bruns,
Dora Bryan,1923
Jane Bryan,1918
Michael Bryant,1928
Nana Bryant,1888
Pamela Bryant,
Yul Brynner,1915
John Buchan,
Jack Buchanan,1891
Horst Buchholz,1933
Betty Buckley,
John Buckwalter,
Genevieve Bujold,1942
Raymond Buktencia,
Peter Bull,1912
Jeremy Bulloch,
Sandra Bullock,1967
Avis Bunnage,
Victor Buono,1938
Robert Bur,
Valerie Burdinelli,1960
Eric Burdon,
Scott Burgess,
Gary Burghoff,
Billie Burke,1885
James Burke,1886
Paul Burke,1926
Dennis Burkley,
Tom Burlinson,
Carol Burnett,1933
Smiley Burnette,
Bob Burns,1893
Catherine Burns,1945
George Burns,1896
Marilyn Burns,
Mark Burns,1936
Stephan W. Burns,
Tim Burns,
Raymond Burr,1917
Terri Burrell,
Jackie Burroughs,
Bill Burrows,
Ellen Burstyn,1932
Jeff Burton,
Kate Burton,1958
LeVar Burton,
Richard Burton,1925
Robert Burton,1894
Steve Buscemi,1958
Mae Busch,1879
Gary Busey,1944
"Billy ""Green"" Bush",
Anthony Bushell,1904
Francis X. Bushman,1883
Robert Butler,
William Butler,
Yancy Butler,
Charles Butterworth,1896
Red Buttons,1918
Pat Buttram,
Ruth Buzzi,
Spring Byington,1893
John Byner,
Ralph Byrd,1909
Tom Byrd,
Anne Byrne,
Eddie Byrne,1911
Martha Byrne,
Kathleen Byron,
Walter Byron,1899
James Caan,1938
Bruce Cabot,1904
Sebastian Cabot,1918
Jean Cadell,1884
Sid Caesar,1922
Cheri Caffaro,
Nicolas Cage,1964
Jeanne Cagney,1919
Jimmy Cagney,1899
William Cagney,
Howard Caine,1926
Michael Caine,1933
Shakira Caine,
Anna Calder-Marshall,1949
Louis Calhern,1895
Rory Calhoun,1922
Joseph Cali,
Michael Callan,1935
Maria Callas,1923
Joseph Calleia,1897
Simon Callow,
Cab Calloway,1907
Donald Calthrop,1888
Phyllis Calvert,1915
Corinne Calvet,1925
Henry Calvin,1918
Godfrey Cambridge,1929
Rod Cameron,1910
Coleen Camp,
Hamilton Camp,
Rosemary Camp,1913
Frank Campanella,
Joseph Campanella,1927
Beatrice Campbell,1923
Bill Campbell,
Cheryl Campbell,
Colin Campbell,1883
Colin Campbell,1937
Daisy Campbell,
Eric Campbell,1878
Glen Campbell,1935
William Campbell,1926
Gianna Maria Canale,1927
John Candy,1951
James Canning,
Dyan Cannon,1938
Freedy Cannon,
J.D. Cannon,1922
Kathy Cannon,
Judy Canova,1916
Cantilene,
Cantinflas,1911
Eddie Cantor,1892
Truman Capote,1925
Ahna Capri,
Kate Capshaw,
Capucine,1933
Irene Cara,
Richard Cardella,
Pat Cardi,
Claudia Cardinale,1939
Arthur Carewe,
Harry Carey,1878
Harry Carey~jr.,
Joyce Carey,1898
Leonard Carey,1893
MacDonald Carey,1913
Phil Carey,1925
Ron Carey,
Timothy Carey,1925
Patrick Cargill,1918
Tim Carhart,
Leo Carillo,
George Carlin,
Anne Carlisle,
Kitty Carlisle,1915
Johanna Carlo,
Charles Carlson,
Karen Carlson,
Moose Carlson,
Richard Carlson,
Ingmari Carlssen,
Pamela Carme,
Julie Carmen,
Hoagy Carmichael,1899
Ian Carmichael,1920
Tullio Carminati,1894
Judy Carne,1939
Art Carney,1918
George Carney,1887
Angela Carnon,
Morris Carnovsky,1897
Martine Carol,1922
Sue Carol,1907
Leslie Caron,1931
Horace Carpenter,
Linda Carpenter,
Carpin,
Carol Carr,
Charmian Carr,1944
Darleen Carr,
Mary Carr,1874
Paul Carr,
Bruce Carradine,
David Carradine,1940
John Carradine,1906
Keith Carradine,1945
Robert Carradine,1954
Barbara Carrera,1945
Jim Carrey,
Matthew Carriere,
Pat Carrol,
Regina Carrol,
John Carroll,1906
Leo G. Carroll,1892
Madeleine Carroll,1906
Nancy Carroll,1905
Regina Carroll,
Charles Carson,1898
Jack Carson,1910
John Carson,1927
Kit Carson,
Ann Carter,1936
Ben Carter,1911
Helena Carter,1923
Helena Bonham Carter,1966
Jack Carter,1922
Jim Carter,
Lydia Carter,
Lynda Carter,
T.K. Carter,
Veronica Cartwright,1949
Anthony Caruso,1913
Louise Carver,1898
Maria Casares,1922
Bernie Casey,
Johnny Cash,1932
Rosalind Cash,1945
John Cassavetes,1929
JeanPierre Cassel,1932
Seymour Cassel,1935
Jack Cassidy,
Joanna Cassidy,1944
Ted Cassidy,1932
JeanPierre Castaldi,
Richard Castellano,1931
William Castle,1914
Phoebe Cates,1963
Walter Catlett,1889
Kim Cattrall,
Joan Caulfield,1922
Olimpia Cavalli,
Paul Cavanagh,1895
Hobart Cavanaugh,1886
Dick Cavett,
Joseph Cawthorn,1868
John Cazale,1936
Christopher Cazenove,
Adolfo Celi,1922
Gino Cervi,1901
Renzo Cesana,
June Chadwick,
George Chakiris,1933
William Challee,
Richard Chamberlain,1935
Wilt Chamberlain,
Marilyn Chambers,
Lolita Chammah,1983
Marge Champion,1923
Jackie Chan,
Chick Chandler,1905
George Chandler,1902
Helen Chandler,1909
Jeff Chandler,1918
Joan Chandler,1923
John Davis Chandler,1937
Simon Chandler,
Lon Chaney,1883
Lon Chaney~jr.,1906
Carol Channing,1921
Margo Channing,
Stockard Channing,1944
Charlie Chaplin,1889
Esme Chaplin,
Geraldine Chaplin,1944
Josephine Chaplin,
Oona Chaplin,1926
Sydney Chaplin,1926
Edward Chapman,1901
Geraldine Chapman,
Graham Chapman,
Lonny Chapman,
Marguerite Chapman,1916
Cyd Charisse,1921
Bobby H. Charles,
Ray Charles,1930
Ian Charleson,
Henri Charrieri,
Spencer Charters,1878
Charlie Chase,1893
Chevy Chase,1949
Stephen Chase,
Martine Chassaing,
Marvin Chatinover,
Soumitra Chatterjee,19bb
Ruth Chatterton,1893
Chubby Checker,1941
Michael Chekhov,1891
Joan Chen,
Cher,1946
Patrice Chereau,
Nicolai Cherkassov,1903
Virginia Cherrill,1908
Arthur Chesney,
Helen Chester,
Leslie Cheung,
Anne Chevalier,1915+
Maurice Chevalier,1888
Walter Chiari,1924
Sonny Chiba,
Lois Chiles,1950
Eric Chitty,
Rae Dawn Chong,1961
Shelby Chong,
Thomas Chong,
Sarita Choudhury,
Navin Chowdhury,
Linda Cristian,
Suzanne Christian,
Audrey Christie,1912
Julie Christie,1940
Dave Dennis Christopher,1955
Kay Christopher,
William Christopher,
International Chrysis,1951
Berton Churchill,1876
Sarah Churchill,
Eduardo Cianelli,1887
Diane Cilento,1933
Michael Cimino,1940
Augusta Ciolli,
Audrey Claire,
Ina Claire,1892
Jimmy Clanton,
Gordon Clapp,
Eric Clapton,
Mary Clare,1894
O.B. Clarence,1870
D. Greydon Clark,
Candy Clark,1949
Cliff Clark,1893
Dane Clark,1913
Ernest Clark,1912
Fred Clark,1914
Ken Clark,
Marguerite Clark,1883
Petula Clark,1932
Susan Clark,1940
Mae Clarke,1910
Caitlin Clarke,
Sharon D. Clarke,
Warren Clarke,
D.A. ClarkeSmith,1888
Jill Clayburgh,1945
Ethel Clayton,1884
John Cleese,1939
Pierre Clementi,1941
John Clements,1910
David Clendinning,
David Clennon,
Corinne Clery,
Jimmy Cliff,
Montgomery Clift,1920
Colin Clive,1898
E.E. Clive,1879
Al Cliver,
George Clooney,dob
Rosemary Clooney,1928
Glenn Close,1947
Raymond Cloutier,
Suzanne Cloutier,1927
Vera Clouzot,1921
Jennifer Cluff,
Alec Clunes,1912
Andy Clyde,1892
June Clyde,
Lee J. Cobb,1911
Charles Coburn,1877
James Coburn,1928
Steve Cochran,1917
James Coco,1928
Ann Codee,1890
Lew Cody,1884
George Coe,
Peter Coe,1929
Tristam Coffin,
George M. Cohan,1878
Mindy Cohen,
Nicholas Colasanto,
Claudette Colbert,1905
Mabel Colcord,
George Cole,1925
Nat King Cole,1919
Rosalie Cole,
Robert Coleby,
Charles Coleman,1885
Dabney Coleman,
Gary Coleman,1968
Nancy Coleman,1917
David Colin~jr.,
Jean Colin,1905
Bonar Colleano,1924
Kenneth Colley,
Constance Collier,1878
Dan Collier,
John Collier,1931
Lois Collier,1919
Patience Collier,
Richard Collier,1919
William Collier,1866
Patricia Collinge,1892
Cora Sue Collins,1927
Eddie Collins,1884
Joan Collins,1933
Lewis Collins,1946
Phil Collins,
Ray Collins,1890
Pauline Collins,1940
Roberta Collins,
Russell Collins,1897
June Collyer,1891
Richard Colman,1891
Ronald Colman,1891
Scott Colomby,
Miriam Colon,
Willie Colon,
Jerry Colonna,1903
Tita Colorado,
Norman Combes,
Frederick Combs,
Anjanette Comer,1942
Dorothy Comingore,1913
The Commodores,n.a.
Betty Compson,1896
Fay Compton,
Joyce Compton,1907
Oliver Conant,
Jeff Conaway,1950
Chester Conklin,1888
Jimmy Conlin,1884
Didi Conn,
Betty Connell,
Chris Connelly,
Jenifer Connelly,
Neil Connery,1938
Sean Connery,1929
Walter Connolly,1887
Kenneth Connor,1918
Chuck Connors,1937
Michael Connors,1925
Mike Connors,1925
Touch Connors,1925
Robert Conrad,1935
William Conrad,1920
Hans Conried,1917
Frank Conroy,1890
John Considine,
Tim Considine,
Michel Constantin,
Richard Conte,1914
Mario Conti,
Tom Conti,1945
Frank Converse,1938
Bert Convy,1932
Gary Conway,1938
Morgan Conway,1903
Tim Conway,1933
Carolyn Conwell,
Jackie Coogan,1914
Clyde Cook,1891
Elisha Cook~jr.,1902
Fielder Cook,1923
Perry Cook,
Peter Cook,1937
Ron Cook,
Alice Cooper,
Gary Cooper,1901
Dame Gladys Cooper,1888
Jackie Cooper,1921
Melville Cooper,1896
Miriam Cooper,1900
Terrec Cooper,
Robert Coote,1909
Francis Ford Coppola,1939
Sofia Coppola,
Gretchen Corbett,1947
Harry H. Corbett,1925
Barry Corbin,
Ellen Corby,1913
Kevin Corcoran,1949
Alex Cord,1931
Lola Cordova,
Raymond Cordy,1898
Irwin Corey,
Jeff Corey,1914
Wendell Corey,1914
Roger Corman,1926
Judy Cornwell,
Adrienne Corri,1930
Douglas `Wrong Way' Corrigan,1907
Lloyd Corrigan,1900
Salvatore Corsitto,
Bud Cort,1950
Valentina Cortesa,1924
Joseph Cortese,
Ricardo Cortez,1899
Nicholas Cortland,
Henry Cory,
Wendell Cory,
Cybil Cosack,
Ernest Cosart,
Bill Cosby,1938
Howard Cosell,1919
Rich Cosentino,
James Cossins,1933
Caroline `Tula' Cossey,1955
Desiree Costeau,
Dolores Costello,1905
Helene Costello,1904
Lou Costello,1906
Kevin Costner,1955
Joseph Cotten,1905
George Coulouris,1903
Carolyn Courage,
Clotilde Courau,1969
Hazel Court,1926
Tom Courtenay,1937
Cicely Courtneige,
Maggie CousineauArndt,
Jerome Cowan,1897
Herbert `Cowboy' Coward,
Noel Coward,1899
Ronny Cox,1938
Ruth Cox,
Wally Cox,1924
Peter Coyote,
Buster Crabbe,1907
Donald Crabtree,
James Craig,1912
Michael Craig,1928
Wendy Craig,1934
Jack Crain,
Jeanne Crain,1925
Grant Cramer,
