id,title,director,year
ESP9,Jack and the Beanstalk,E.S.Porter,1902
ESP10,Uncle Tom's Cabin,E.S.Porter,1902
ESP11,Life of an American Fireman,E.S.Porter,1903
ESP12,The Great Train Robbery,E.S.Porter,1903
ESP16,The Little Train Robbery,E.S.Porter,1905
ESP17,The Kleptomaniac,E.S.Porter,1905
ESP25,The Count of Monte Christo,E.S.Porter,1912
ESP26,The Prisoner of Zenda,E.S.Porter,1912
ESP27,His Neighbor's Wife,E.S.Porter,1912
ESP28,Tess of the d'Ubervilles,E.S.Porter,1912
ESP30,An American Citizen,E.S.Porter,1913
ESP31,A Good Little Devil,E.S.Porter,1913
ESP32,In The Bishop's Carriage,E.S.Porter,1913
ESP33,Caprice,E.S.Porter,1913
ESP34,Hearts Adrift,E.S.Porter,1913
ESP40,Tess of The Storm Country,E.S.Porter,1914
GMs1,L'Escamontage d'une Dame,Melies,1896
GMs2,L'Homme orchestre,Melies,1900
GMs4,Cinderella,Melies,1900
GMs6,Le voyage dans la lune,Melies,1902
GMs8,Danseuse Microscopique,Melies,1902
GMs12,An Impossible Voyage,Melies,1904
GMs20,L'Homme a la Tete en Caoutchouc,Melies,1906
AMv10,The Downward Path,A.Marvin,1900
Z0001,Hamlet,Unknown0,1900
Z0002,Romea and Juliet,Unknown0,1900
Z0003,King Lear,Unknown0,1905
Z0004,Julius Cesar,Unknown0,1907
Z0005,Othello,Unknown0,1907
Z0006,Macbeth,Unknown0,1908
Z0007,Richard III,Unknown0,1908
WRB10,The Magic Sword or A Medieval Mystery,Booth,1891
CPa1,La Passion,Pathe,1902
CPa50,Les Mis\'erables,Pathe,1909
WHa1,The Maniac's Guillotine,Haggar,1902
WHa8,The Life of Charles Pierce,Haggar,1905
WMc10,Kit Carson,McCutcheon,1903
ThE10,Parsifal,Edison,1904
JaC1,The Wagon Trails,Cruze,1906
JaC7,Too Many Millions,Cruze,1918
JaC10,The Covered Wagon,Cruze,1923
JaC12,Hollywood,Cruze,1918
JaC15,Ruggles of Red Gap,Cruze,1918
JaC20,Beggars on Horseback,Cruze,1925
JaC23,Pony Express,Cruze,1925
JaC25,Old Ironsides,Cruze,1926
JaC28,The Great Gabbo,Cruze,1929
JaC33,Washington Merry Go Round,Cruze,1932
JaC35,I Cover the Waterfront,Cruze,1933
JaC40,Sutter's Gold,Cruze,1936
GKS60,The Dead Man's Claim,Spoor,1912
LMi1,The Last Days of Pompeii,Maggi,1908
LMi5,Nero and the Burning of Rome,Maggi,1909
LMi23,Autumn Sunset Dream,Maggi,1911
LMi25,The Ship with the Lions,Maggi,1912
LMi35,The Lion of Venice,Maggi,1914
DWG02,At the French Ball,Griffith,1908
DWG03,Calamitous Elopement,Griffith,1908
DWG1,The Adventures of Dolly,Griffith,1908
DWG3,For the Love of Gold,Griffith,1908
DWG5,The Call of the Wild,Griffith,1908
DWG6,Lines of White on a Sullen Sea,Griffith,1908
DWG7,The Sealed Room,Griffith,1909
DWG8,A Corner in Wheat,Griffith,1909
DWG9,The Lonely Villa,Griffith,1909
DWG10,The Life of Edgar Allen Poe,Griffith,1909
DWG11,The Curtain Pole,Griffith,1909
DWG15,Song of the Wildwood Flute,Griffith,1910
DWG16,Love Among the Roses,Griffith,1910
DWG25,The Lonedale Operator,Griffith,1911
DWG26,Paradise Lost,Griffith,1911
DWG27,Enoch Arden,Griffith,1911
DWG29,The Cowboy Doctor,Griffith,1911
DWG33,Man's Genesis,Griffith,1912
DWG35,The Musketeers of Pig Alley,Griffith,1912
DWG40,The Raven,Griffith,1912
DWG47,The New York Hat,Griffith,1912
DWG49,The Battle at Elderbush Gulch,Griffith,1913
DWG50,Judith of Bethulia,Griffith,1913
DWG51,The Clansman,Griffith,1915
DWG52,Intolerance,Griffith,1916
DWG53,Hearts of the World,Griffith,1918
DWG55,The Greatest Question,Griffith,1919
DWG57,Broken Blossoms,Griffith,1919
DWG58,True Heart Susie,Griffith,1919
DWG64,Way Down East,Griffith,1920
DWG66,One Exciting Night,Griffith,1922
DWG67,Orphans of the Storm,Griffith,1922
DWG71,America,Griffith,1924
DWG72,Isn't life Wonderful,Griffith,1924
DWG75,Screen Snapshots,Griffith,1926
DWG80,Abraham Lincoln,Griffith,1930
Z0210,Romeo and Juliet,Unknown2,1908
Z0220,Romeo and Juliet,Unknown2,1908
Z0230,Romeo and Juliet,Unknown2,1908
Z0240,Romeo and Juliet,Unknown2,1911
Z0250,Romeo and Juliet,Unknown2,1911
Z0260,Romeo and Juliet,Unknown2,1916
Z0270,Romeo and Juliet,Unknown2,1916
EiC10,Le Binetoscope,Cohl,1909
GdL10,"Marin Valiero, Doge of Venice",deLiguoro,1909
MCs2,The Pilgrim's Progress,Caserini,1912
MCs3,Macbeth,Caserini,1913
MCs10,Love Everlasting,Caserini,1913
WMk10,Gertie the Dino,Mackay,1909
FkP10,All on Account of Milk,F.Powell,1910
GlS10,The Merchant of Venice,loSavio,1910
ISB10,Life of Moses,Blackton,1910
ThB10,The Old Curiosity Shop,Bentley,1913
ThB30,The Old Curiosity Shop,Bentley,1921
ThB50,Young Woodley,Bentley,1930
ThB55,Hobson's Choice,Bentley,1931
ThB65,Those Were the Days,Bentley,1934
ThB70,The Old Curiosity Shop,Bentley,1935
ThB80,Lucky to Me,Bentley,1939
UgF10,Salome,Falena,1910
UgF12,Francesca di Rimini,Falena,1911
APv10,Dante's Inferno,Padovan,1911
APv11,Homer's Odyssey,Padovan,1911
AuB10,The Vampire Dancer,Blom,1911
LcP15,L'Enfant de Paris,Perret,1913
OrM10,Clios and Phyletes,Mentasti,1911
ThI10,Little Dove's Romance,Th.Ince,1911
ThI18,Battle of the Red Men,Th.Ince,1912
ThI20,Custer's Last Fight,Th.Ince,1912
ThI33,The Death Mask,Th.Ince,1914
ThI40,Civilization,Th.Ince,1915
ThI60,Human Wreckage,Th.Ince,1924
ThI65,Custer's Last Fight,Th.Ince,1925
UrG10,The Aviator's Generosity,Gad,1911
WmH10,A Tale of Two Cities,Humphrey,1911
ADw5,Maiden and Men,Dwan,1912
ADw6,Their Hero Son,Dwan,1912
ADw17,Robin Hood,Dwan,1922
ADw22,The Iron Mask,Dwan,1922
ADw27,Manhandled,Dwan,1924
ADw35,Heidi,Dwan,1937
ADw40,Rebecca of Sunnybrook Farm,Dwan,1938
ADw41,Suez,Dwan,1938
ADw45,The Three Musketeers,Dwan,1939
ADw52,Around the World,Dwan,1943
ADw60,Sands of Iwo Jima,Dwan,1949
ADw70,Cattle Queen of Montana,Dwan,1954
ADw72,Passion,Dwan,1954
ADw75,Tennessee's Partner,Dwan,1954
ADw78,Pearl of the South Pacific,Dwan,1955
ADw80,Slightly Scarlet,Dwan,1956
AEG25,The Ghost Breaker,A.E.Green,1922
AEG37,Baby Face,A.E.Green,1933
AEG39,I Loved a Woman,A.E.Green,1933
AEG41,Dangerous,A.E.Green,1935
AEG50,The Gracie Allen Murder Case,A.E.Green,1935
AEG60,The Jolson Story,A.E.Green,1946
AEG70,The Eddie Cantor Story,A.E.Green,1953
JCw16,Step On It,Conway,1922
JCw41,Bringing Up Father,Conway,1928
JCw44,Our Modern Maidens,Conway,1929
JCw47,The Unholy Three,Conway,1930
JCw50,Just a Gigolo,Conway,1931
JCw51,Ars\`ene Lupin,Conway,1932
JCw53,Red-headed Woman,Conway,1932
JCw57,Viva Villa,Conway,1934
JCw61,A Tale of Two Cities,Conway,1935
JCw62,Libeled Lady,Conway,1936
JCw63,Sarasota,Conway,1937
JCw64,A Yank at Oxford,Conway,1938
JCw65,Too Hot To Handle,Conway,1938
JCw67,Lady of the Tropics,Conway,1939
JCw68,Boom Town,Conway,1940
JCw69,Love Crazy,Conway,1940
JCw70,Honky Tonk,Conway,1940
JCw73,Dragon Seed,Conway,1944
JCw75,The Hucksters,Conway,1947
JDu10,Comedy of the absurd,Durand,1912
MaT10,Alias Jimmy Valentine,M.Tourneur,1915
MaT25,The Pride of the Clan,M.Tourneur,1917
MaT27,Poor Little Rich Girl,M.Tourneur,1917
MaT40,Au nom de la loi,M.Tourneur,1931
LMe10,Queen Elizabeth,Mercanton,1912
LoW3,How Men Propose,Weber,1913
LoW5,Where are My Children,Weber,1916
LoW10,The Dumb Girl of Portici,Weber,1916
LoW11,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",Weber,1916
LoW20,The Dance of Love,Weber,1920
LoW21,Shoes,Weber,1920
ME40,Nelson,Elvey,1919
ME60,The Elusive Pimpernel,Elvey,1912
ME100,The Hound of the Baskervilles,Elvey,1921
MEl130,Balalava,Elvey,1928
MEl150,The School for Scandal,Elvey,1930
ME180,The Lodger,Elvey,1932
ME200,The Tunnel,Elvey,1934
ME240,The Spider,Elvey,1940
ME270,Beware of Pity,Elvey,1946
ME300,My Wife's Lodger,Elvey,1952
MSe10,Dough and Dynamite,Mack~Sennett,1914
MSe15,Fatty and Mabel at the San Diego Exposition,Mack~Sennett,1915
MSe18,Fatty and Mabel's Simple Life,Mack~Sennett,1915
MSt10,Vampyren,M.Stiller,1912
MSt20,Sir Arne's Treasure,M.Stiller,1919
MSt30,Erotikon,M.Stiller,1920
MSt40,The Saga of Gosta Berlin,M.Stiller,1924
MSt50,The Blizzard,M.Stiller,1926
MSt53,The Temptress,M.Stiller,1927
MSt55,Hotel Imperial,M.Stiller,1927
MSt60,Street of Sin,M.Stiller,1928
SiO10,From the Manger to the Cross,Olcott,1912
SiO30,Monsieur Beaucaire,Olcott,1924
VSj1,Tradgardsmastaren,Seastrom,1912
VSj3,The Phantom Carriage,Seastrom,1920
VSj5,He Who gets Slapped,Seastrom,1924
VSj6,The Scarlet Letter,Seastrom,1926
VSj7,The Divine Woman,Seastrom,1927
VSj8,The Wind,Seastrom,1927
Z1210,Within the Law,UnYear12,1912
Z1220,Within the Law,UnYear12,1917
Z1230,Within the Law,UnYear12,1923
ElR10,The Last Days of Pompeii,Rodolfo,1913
NOx10,Il Cadavere Vivente,Oxilia,1913
NOx20,Rhapsodia Satanica,Oxilia,1917
AcG10,"Fedora, or Piu Forte dell'Odio e Amore",Gonsalvi,1913
BuG10,Blade O'Grass,George,1915
CDM0,California,DeMille,1913
CDM1,The Squaw Man,DeMille,1913
CDM3,The Virginian,DeMille,1914
CDM5,Brewster's Millions,DeMille,1914
CDM6,Rose of the Rancho,DeMille,1914
CDM7,The Ghost Breaker,DeMille,1914
CDM8,Call of the North,DeMille,1915
CDM9,The Girl of the Golden West,DeMille,1915
CDM10,The Wild Goose Chase,DeMille,1915
CDM11,The Warrens of Virginia,DeMille,1915
CDM12,The Arab,DeMille,1915
CDM13,The Goose Girl,DeMille,1915
CDM15,Carmen,DeMille,1915
CDM16,Maria Rosa,DeMille,1915
CDM17,The Captive,DeMille,1915
CDM18,The Cheat,DeMille,1915
CDM19,The Trail of the Lonesome Pine,DeMille,1916
CDM22,"Joan, the Woman",DeMille,1917
CDM32,The Squaw Man,DeMille,1918
CDM40,The Affairs of Anatol,DeMille,1921
CDM44,Adam's Rib,DeMille,1923
CDM45,The Ten Commandments,DeMille,1923
CDM51,The King of Kings,DeMille,1927
CDM52,Madame Satan,DeMille,1930
CDM54,The Godless Girl,DeMille,1931
CDM55,The Squaw Man,DeMille,1931
CDM56,The Sign of the Cross,DeMille,1932
CDM59,Cleopatra,DeMille,1934
CDM60,The Crusades,DeMille,1935
CDM64,The Plainsman,DeMille,1936
CDM68,The Buccaneer,DeMille,1938
CDM73,Union Pacific,DeMille,1939
CDM75,Reap the Wild Wind,DeMille,1942
CDM77,Unconquered,DeMille,1947
CDM78,Samson and Delilah,DeMille,1949
CDM79,The Greatest Show on Earth,DeMille,1952
CDM80,The Ten Commandments,DeMille,1956
EGz10,Anthony and Cleopatra,Guazzoni,1913
GBS10,The Perils of Pauline,Seitz,1913
GBS20,The Fatal Ring,Seitz,1917
GBS30,Velvet Fingers,Seitz,1921
GBS40,The Sky Ranger,Seitz,1925
GBS42,The Vanishing American,Seitz,1925
GBS90,The Woman in his Life,Seitz,1935
GBS92,The Last of the Mohicans,Seitz,1936
GBS93,A Family Affair,Seitz,1936
GBS95,You're Only Young Once,Seitz,1938
GBS96,Judge Hardy's Children,Seitz,1938
GBS97,Love Finds Andy Hardy,Seitz,1938
GBS98,Out West With the Hardys,Seitz,1938
GBS100,6000 Enemies,Seitz,1939
GBS102,The Hardys Ride High,Seitz,1939
GBS103,Judge Hardy and Son,Seitz,1939
GBS110,Andy Hardy Meets a Debutante,Seitz,1939
GBS115,Kit Carson,Seitz,1940
GBS120,Sky Murder,Seitz,1940
GBS130,Andy Hardy's Private Secretary,Seitz,1941
GBS132,Life Begins for Andy Hardy,Seitz,1941
GBS140,China Caravan,Seitz,1942
GBS144,The Courtship of Andy Hardy,Seitz,1942
GBS145,Andy Hardy's Double Life,Seitz,1942
GBS150,Andy Hardy's Blonde Trouble,Seitz,1944
BHd10,East Lynne,Haldane,1913
DGP1,Raja Harishchandra,Phalke,1913
HBn5,Ivanhoe,Brenon,1913
HBn8,Neptune's Daughter,Brenon,1914
HBn10,The Kreuzer Sonata,Brenon,1913
HBn12,War Brides,Brenon,1916
HBn15,The Passing of the Third Floor Back,Brenon,1918
HBn18,The Sign on the Door,Brenon,1921
HBn21,The Spanish Dancer,Brenon,1923
HBn25,Peter Pan,Brenon,1924
HBn30,Beau Geste,Brenon,1926
HBn40,Beau Ideal,Brenon,1931
HHS1,The White Goddess of the Wangora,Schomburgk,1913
HHS3,The Heroes of Paratau,Schomburgk,1914
HHS6,The Outlaw of the Sudu Mountains,Schomburgk,1914
HHS8,Odd Man Out,Schomburgk,1914
HHS9,Deutsche in Sudan,Schomburgk,1914
HHS12,Eine Weisse unter Kannibalen,Schomburgk,1919
HHS13,Ein Abenteurer,Schomburgk,1920
HHS14,Tropengift,Schomburgk,1920
HHS15,Goldfieber,Schomburgk,1920
HHS16,Im Kampf um die Diamantfelder,Schomburgk,1921
HHS22,Geheimbundrieten der Frauen in Liberia,Schomburgk,1923
HHS24,Mensch und Tier im Urwald,Schomburgk,1924
HHS26,"Fahrten und F\""ahrten",Schomburgk,1926
HHS28,Verlorenes Land,Schomburgk,1926
HHS36,Das Letzte Paradis,Schomburgk,1932
HHS38,Die Wildnis Stirbt,Schomburgk,1933
HHS48,"Frauen, Masken, und Dam\""onen",Schomburgk,1948
HHS50,Abschied von Afrika,Schomburgk,1956
PW1,The Student of Prag,Wegener,1913
PW2,"R\""ubezahls Hochzeit",Wegener,1916
PW3,"Der Rattenf\""anger von Hameln",Wegener,1918
PW4,Der Golem,Wegener,1920
Z4210,Tarzan the Ape Man,Unknown42,1913
Z4215,Romance of Tarzan,Unknown42,1918
Z4220,Return of Tarzan,Unknown42,1920
Z4222,Son of Tarzan,Unknown42,1920
Z4225,Adventures of Tarzan,Unknown42,1921
Z4230,Tarzan and the Golden Lion,Unknown42,1927
Z4240,Tarzan the Mighty,Unknown42,1928
ADA10,The Memory of the Other,DegliAbbati,1914
AK1,The Duped Journalist,A.Korda,1914
AK19,The Man with the Golden Touch,A.Korda,1918
AK26,The Prince and the Pauper,A.Korda,1920
AK40,The Private Life of Helen of Troy,A.Korda,1927
AK45,Her Private Life,A.Korda,1929
AK49,The Princess and the Plumber,A.Korda,1931
AK50,Marius,A.Korda,1931
AK57,The Private Life of Henry VIII,A.Korda,1933
AK58,The Girl from Maxim's,A.Korda,1933
AK59,The Private Life of Don Juan,A.Korda,1934
AK78,Rembrandt,A.Korda,1936
AK90,That Hamilton Woman,A.Korda,1941
AK96,An Ideal Husband,A.Korda,1947
CC1,Making A Living,Chaplin,1914
CC43,The Tramp,Chaplin,1915
CC50,Shangheid,Chaplin,1916
CC52,A Night at the Show,Chaplin,1916
CC62,The Immigrant,Chaplin,1917
CC64,The Adventurer,Chaplin,1917
CC66,A Dog's Life,Chaplin,1918
CC68,Shoulder Arms,Chaplin,1918
CC70,The Kid,Chaplin,1920
CC72,Shoulder Arms,Chaplin,1922
CC73,The Gold Rush,Chaplin,1925
CC75,The Circus,Chaplin,1927
CC76,City Lights,Chaplin,1931
CC77,Modern Times,Chaplin,1936
CC78,The Great Dictator,Chaplin,1940
CC79,The Gold Rush,Chaplin,1942
CC80,Monsieur Verdoux,Chaplin,1947
CC80,Limelight,Chaplin,1952
CC82,A King in New York,Chaplin,1957
CC83.,A Countess from Hong Kong,Chaplin,1966
CGl10,La donna nuda,Gallone,1914
CGl25,Malombra,Gallone,1917
CGl35,Maman poupee,Gallone,1920
CGl42,Fabiola,Gallone,1923
CGl44,Mesalina,Gallone,1924
CGl46,Quo Vadis,Gallone,1925
CGl48,The Last Days of Pompeii,Gallone,1926
CGl55,Pawns of Passion,Gallone,1928
CGl70,Madame Butterfly,Gallone,1939
CGl75,Manon Lescaut,Gallone,1940
CGl85,La Traviata,Gallone,1947
CGl90,Faust and the Devil,Gallone,1949
CGl95,La Forza del Destino,Gallone,1951
CGl103,Tosca,Gallone,1956
CGl107,Michel Strogoff,Gallone,1959
CGl109,Cathage in Flames,Gallone,1959
CGl115,Carmen di Travestere,Gallone,1962
CoC10,The Spoilers,C.Campbell,1914
CWl10,Der Stolz der Firma,Wilhelm,1914
ECs10,In The Land of the War Canoes,E.Curtis,1914
El9,Schuhpalast Pinkus,Lubitsch,1915
El13,Wenn Vier Dasselbe Tun,Lubitsch,1917
El15,"Ein Fideles Gef\""angnis",Lubitsch,1918
EL19,Die Augen der Mumie Ma,Lubitsch,1918
EL21,Gipsy Blood,Lubitsch,1918
EL28,Meyer in Berlin,Lubitsch,1919
EL29,Die Austernprinzessin,Lubitsch,1919
EL31,Madame Dubarry,Lubitsch,1919
EL32,Die Puppe,Lubitsch,1919
EL33,Romeo und Julia im Schnee,Lubitsch,1920
EL34,"Kohliesel's T\""ochter",Lubitsch,1920
El35,"Ich M\""ochte Kein Mann Sein",Lubitsch,1920
EL36,Sumurun,Lubitsch,1920
EL37,Anna Boleyn,Lubitsch,1920
EL38,Die Bergkatze,Lubitsch,1921
EL39,Das Weib des Pharao,Lubitsch,1922
EL40,Die Flamme,Lubitsch,1923
EL41,Rosita,Lubitsch,1923
EL42,The Marriage Circle,Lubitsch,1924
EL44,Forbidden Paradise,Lubitsch,1924
EL46,Lady Windermere's Fan,Lubitsch,1925
EL48,The Student Prince,Lubitsch,1927
EL49,The Patriot,Lubitsch,1928
EL51,The Love Parade,Lubitsch,1929
EL52,Paramount on Parade,Lubitsch,1930
EL53,Monte Carlo,Lubitsch,1930
EL54,The Smiling Luitenant,Lubitsch,1931
EL55,The Man I Killed,Lubitsch,1932
EL56,One Hour With You,Lubitsch,1932
EL57,Trouble in Paradise,Lubitsch,1932
EL58,If I had a Million,Lubitsch,1932
EL60,Design For Living,Lubitsch,1933
EL61,The Merry Widow,Lubitsch,1934
EL62,Angel,Lubitsch,1937
EL63,Bluebeard's Eighth Wife,Lubitsch,1938
EL64,Ninotchka,Lubitsch,1939
EL65,The Shop around the Corner,Lubitsch,1940
EL67,To Be or Not To Be,Lubitsch,1942
EL68,Heaven Can Wait,Lubitsch,1943
EL69,Cluny Brown,Lubitsch,1946
PFo10,Cabiria,Fosco,1914
PFo15,Il Fuoco,Fosco,1915
PFo20,Tigre Reale,Fosco,1916
PFo25,Hedda Gabler,Fosco,1919
ReB8,The Italian,R.Barker,1914
ReB10,The Typhoon,R.Barker,1914
ASa14,Bluebeard's Seven Wives,Santell,1926
ASa29,The Sea Wolf,Santell,1930
ASa30,Body and Soul,Santell,1931
ASa31,Daddy Long Legs,Santell,1931
ASa34,Rebecca of Sunnybrook Farm,Santell,1932
ASa39,People Will Talk,Santell,1935
ASa41,Winterset,Santell,1936
ASa47,Our Leading Citizen,Santell,1939
ASa49,Beyond the Blue Horizon,Santell,1942
ASa50,Jack London,Santell,1943
ASa51,The Hairy Ape,Santell,1944
ECa10,The Final Judgement,Carewe,1915
ECa20,The trail to Yesterday,Carewe,1918
ECa30,Rio Grande,Carewe,1920
ECa40,San of the Sahara,Carewe,1924
ECa50,Resurrection,Carewe,1927
ECa55,Ramona,Carewe,1928
ECa60,Evangeline,Carewe,1929
ECa62,The Girl of the Golden West,Carewe,1929
ECa64,New Moon,Carewe,1930
ECa65,The Spoilers,Carewe,1930
ECa75,Are We Civilized?,Carewe,1934
GD1,Les Soeurs Ennemies,Dulac,1915
GD2,Geo le Mysterieux,Dulac,1916
GD3,Venus Victrix,Dulac,1916
GD7,La Fete Espanole,Dulac,1919
GD10,La Belle Dame Sans Merci,Dulac,1920
GD13,La Souriante Madame Beudet,Dulac,1923
GD19,La Coquille et le Clergyman,Dulac,1926
GMf20,Tennessee's Pardner,Melford,1915
GMf21,Gentleman of Leisure,Melford,1915
GMf40,Pettigrew's Girl,Melford,1919
GMf50,The Sheik,Melford,1921
GMf60,Dracula,Melford,1931
GMf70,The Light That Failed,Melford,1940
GuS10,Assunta Spina,Serena,1915
GuS12,The Woman of the Camelias,Serena,1915
IGA30,The Little Red Schoolhouse,Adolfi,1923
IGA40,The Phantom Express,Adolfi,1925
IGA50,Alexander Hamilton,Adolfi,1931
IGA60,The Man Who Played God,Adolfi,1932
IGA70,Voltaire,Adolfi,1933
JGE10,Joyous Troublemakers,G Edwards,1920
JGE18,Nero,G Edwards,1922
JGE20,Queen of Sheba,G Edwards,1922
JGE25,It's the Law,G Edwards,1924
JMa30,Asphalt,J.May,1929
JMa50,Music in the Air,J.May,1934
JMa60,The House of Seven Gables,J.May,1940
JMa70,Johnny Doen't Live Here Any More,J.May,1944
LaW10,The Corporal's Daughter,L.West,1915
LFl30,Les Vampires,Feuillade,1915
LFl50,Fantomas,Feuillade,1916
LFl70,Judex,Feuillade,1917
RaW2,The Thief of Bagdad,Walsh,1924
RaW13,What Price Glory,Walsh,1926
RaW20,The Loves of Carmen,Walsh,1927
RaW24,Sadie Thompson,Walsh,1928
RaW40,The Man Who Came Back,Walsh,1930
RaW41,The Big Trail,Walsh,1930
RaW44,The Yellow Ticket,Walsh,1931
RaW47,The Bowery,Walsh,1933
RaW59,The Roaring Twenties,Walsh,1939
RaW60,St.~Louis Blues,Walsh,1939
RaW61,They Drive by Night,Walsh,1940
RaW62,High Sierra,Walsh,1941
RaW63,They Died With Their Boots On,Walsh,1941
RaW64,The Strawberry Blonde,Walsh,1941
RaW65,Manpower,Walsh,1941
RaW66,Desperate Journey,Walsh,1942
RaW67,Northern Pursuit,Walsh,1943
RaW70,Objective Burma,Walsh,1945
RaW72,The Man I Love,Walsh,1946
RaW73,One Sunday Afternoon,Walsh,1949
RaW74,White Heat,Walsh,1949
RaW75,Colorado Territory,Walsh,1949
RaW77,Distant Drums,Walsh,1951
RaW78,Blackbeard the Pirate,Walsh,1952
RaW80,Gun Fury,Walsh,1953
RaW81,Sea Devils,Walsh,1953
RaW82,Battle Cry,Walsh,1954
RaW85,Band of Angels,Walsh,1957
RaW87,The Naked and the Dead,Walsh,1958
RaW93,A Distant Trumpet,Walsh,1964
SG10,Ceux de Chez Nous,Guitry,1915
SG15,La Voyante,Guitry,1925
SG20,Les Deaux Couverts,Guitry,1932
SG25,Bonne Chance,Guitry,1935
SG30,Le Roman d'un Tricheur,Guitry,1936
SG33,The Pearls of the Crown,Guitry,1937
SG35,Quadrille,Guitry,1938
SG37,Champes-Elyse\'es,Guitry,1938
SG40,Ils Etaient Neuf Celibataires,Guitry,1939
SG43,Le Destin Fabuleux de Desiree Clary,Guitry,1942
SG45,Donne-moi Tes Yeux,Guitry,1943
SG49,La Diable Boiteux,Guitry,1948
SG50,Le Comedien,Guitry,1949
SG54,La Poison,Guitry,1951
SG55,Debureau,Guitry,1951
